2022-10-24 09:12:28,979 DEBUG        (node6078, node5213) - port: 4, 100GB, 0.0049ms, 4.5+14w
2022-10-24 09:12:28,979 DEBUG        (node3522, node3522_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,979 DEBUG        (node6078, node6629) - port: 4, 100GB, 0.0048ms, 4.5+14w
2022-10-24 09:12:28,979 DEBUG        (node3714, node3714_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,979 DEBUG        (node4400, node5216) - port: 4, 100GB, 0.0021ms, 4.5+14w
2022-10-24 09:12:28,979 DEBUG        (node3714, node3714_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,979 DEBUG        (node4400, node6415) - port: 4, 100GB, 0.0043ms, 4.5+14w
2022-10-24 09:12:28,979 DEBUG        (node4820, node4820_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,979 DEBUG        (node4400, node6832) - port: 4, 100GB, 0.005600000000000001ms, 4.5+14w
2022-10-24 09:12:28,979 DEBUG        (node4820, node4820_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,979 DEBUG        (node4972, node3211) - port: 4, 100GB, 0.00495ms, 4.5+14w
2022-10-24 09:12:28,979 DEBUG        (node3416, node3416_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,979 DEBUG        (node4972, node5299) - port: 4, 100GB, 0.00555ms, 4.5+14w
2022-10-24 09:12:28,979 DEBUG        (node3416, node3416_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,979 DEBUG        (node4972, node7220) - port: 4, 100GB, 0.00505ms, 4.5+14w
2022-10-24 09:12:28,979 DEBUG        (node4912, node4912_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,979 DEBUG        (node5317, node4518) - port: 4, 100GB, 0.0037ms, 4.5+14w
2022-10-24 09:12:28,979 DEBUG        (node4912, node4912_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,979 DEBUG        (node5317, node5083) - port: 4, 100GB, 0.00525ms, 4.5+14w
2022-10-24 09:12:28,979 DEBUG        (node6078, node6078_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,979 DEBUG        (node5317, node5879) - port: 4, 100GB, 0.00495ms, 4.5+14w
2022-10-24 09:12:28,979 DEBUG        (node6078, node6078_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,979 DEBUG        (node4434, node3753) - port: 4, 100GB, 0.00585ms, 4.5+14w
2022-10-24 09:12:28,979 DEBUG        (node4400, node4400_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,979 DEBUG        (node4434, node5455) - port: 4, 100GB, 0.00515ms, 4.5+14w
2022-10-24 09:12:28,979 DEBUG        (node4400, node4400_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,979 DEBUG        (node4434, node5655) - port: 4, 100GB, 0.0016ms, 4.5+14w
2022-10-24 09:12:28,979 DEBUG        (node4972, node4972_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
