2022-10-24 09:10:04,436 DEBUG        (node4434, node4434_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node4434, node4434_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node5834, node5834_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node5834, node5834_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node3139, node3139_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node3139, node3139_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node3926, node3926_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node3926, node3926_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node5377, node5377_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node5377, node5377_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node4812, node4812_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node4812, node4812_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node5891, node5891_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node5891, node5891_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node6586, node6586_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node6586, node6586_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node6389, node6389_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node6630, node6630_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node4183, node4183_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node4400, node4400_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,437 DEBUG        (node4402, node4402_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,437 DEBUG        (node4972, node4972_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,437 DEBUG        (node5216, node5216_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,437 DEBUG        (node6578, node6578_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,437 DEBUG        (node6778, node6778_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,437 DEBUG        (node3211, node3211_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,437 DEBUG        (node4518, node4518_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,437 DEBUG        (node5299, node5299_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,437 DEBUG        (node3713, node3713_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,437 DEBUG        (node5655, node5655_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,437 DEBUG        (node5989, node5989_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,437 DEBUG        (node4912, node4912_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,437 DEBUG        (node3753, node3753_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,437 DEBUG        (node5455, node5455_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,437 DEBUG        (node6290, node6290_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,437 DEBUG        (node4432, node4432_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,437 DEBUG        (node7997, node7997_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,437 DEBUG        (node5376, node5376_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,437 DEBUG        (node7287, node7287_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,437 DEBUG        (node7519, node7519_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,437 DEBUG        (node5771, node5771_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,437 DEBUG        (node4913, node4913_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,437 DEBUG        (node6242, node6242_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,437 DEBUG        (node6512, node6512_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,437 DEBUG        (node5712, node5712_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,437 INFO     Link Information Loaded: 0.006189584732055664s
2022-10-24 09:10:04,466 INFO     Routes Generated: 0.029317140579223633s
2022-10-24 09:10:04,510 INFO     Model Creation Time:
2022-10-24 09:10:04,510 INFO         Data Definition: 0.00014257431030273438s
2022-10-24 09:10:04,537 INFO         Variables Definition: 0.026529550552368164s
2022-10-24 09:10:04,674 INFO         Objective Definition: 0.13678741455078125s
2022-10-24 09:10:04,865 INFO         Centralization Definition: 0.1910097599029541s
2022-10-24 09:10:04,871 INFO         Single Route Definition: 0.0059320926666259766s
2022-10-24 09:10:04,915 INFO         Processing Definition: 0.044423818588256836s
2022-10-24 09:10:05,037 DEBUG    Notify start solve: engine_type=None, solve_details={
   "MODEL_DETAIL_INTEGER_VARS": 205,
   "MODEL_DETAIL_CONTINUOUS_VARS": 0,
